"MX","24 11","24 13","24 15"
1,0.2224970734909899,0.2224964886228178,0.2223316406411035
2,0.2223399040521573,0.22233931918376867,0.22217447110243224
3,0.22207795522830043,0.22207737035897457,0.22191252194887107
4,0.2217112279226591,0.22171064305081126,0.22154579383869774
5,0.22123972448365756,0.22123913960649277,0.22107428877738441
6,0.2206634497887921,0.22066286490195963,0.220498011201481
7,0.21998241263820137,0.21998182773544905,0.21981696937217843
8,0.21919662745791926,0.21919604253074776,0.21903117707855388
9,0.21830611631281005,0.21830553135012695,0.21814065565049595
10,0.21731091122918503,0.21731032621695942,0.21714543628131014
